Segments
100
,,New Subject:gripper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,38.9209,111.15,-42.2261,386.766,578.266,709.932
2,0,38.9192,111.144,-42.2289,386.765,578.273,709.937
3,0,38.9234,111.15,-42.2294,386.758,578.279,709.932
4,0,38.9221,111.15,-42.2286,386.76,578.278,709.937
5,0,38.9215,111.145,-42.2286,386.758,578.277,709.939
6,0,38.9217,111.141,-42.2281,386.762,578.269,709.937
7,0,38.9249,111.14,-42.2262,386.765,578.265,709.932
8,0,38.9262,111.142,-42.2277,386.77,578.257,709.935
9,0,38.9289,111.141,-42.2254,386.776,578.256,709.929
10,0,38.9283,111.137,-42.23,386.779,578.248,709.932
11,0,38.928,111.138,-42.2265,386.784,578.245,709.927
12,0,38.9305,111.138,-42.2264,386.785,578.243,709.926
13,0,38.9302,111.136,-42.2236,386.79,578.242,709.924
14,0,38.9277,111.135,-42.2253,386.79,578.239,709.929
15,0,38.9314,111.135,-42.2249,386.786,578.243,709.924
16,0,38.9308,111.126,-42.2267,386.783,578.241,709.93
17,0,38.9307,111.13,-42.2264,386.776,578.246,709.935
18,0,38.9298,111.127,-42.2305,386.774,578.252,709.94
19,0,38.9298,111.122,-42.2292,386.778,578.254,709.936
20,0,38.9277,111.126,-42.2297,386.781,578.252,709.934
21,0,38.9328,111.13,-42.227,386.781,578.246,709.929
22,0,38.9305,111.13,-42.2248,386.792,578.242,709.928
23,0,38.9305,111.13,-42.2248,386.792,578.242,709.928
24,0,38.9307,111.13,-42.2212,386.799,578.23,709.924
25,0,38.932,111.134,-42.2238,386.798,578.224,709.926
26,0,38.9319,111.147,-42.2154,386.802,578.227,709.914
27,0,38.9295,111.14,-42.2207,386.794,578.222,709.919
28,0,38.9249,111.136,-42.2208,386.794,578.222,709.924
29,0,38.9267,111.13,-42.225,386.786,578.232,709.931
30,0,38.9266,111.131,-42.226,386.782,578.241,709.928
31,0,38.9289,111.132,-42.2236,386.778,578.246,709.924
32,0,38.9239,111.127,-42.2276,386.772,578.25,709.936
33,0,38.9235,111.124,-42.2266,386.763,578.266,709.939
34,0,38.9248,111.122,-42.2253,386.76,578.265,709.935
35,0,38.9237,111.126,-42.2264,386.763,578.266,709.94
36,0,38.9218,111.118,-42.2296,386.756,578.268,709.94
37,0,38.9249,111.127,-42.2244,386.759,578.264,709.932
38,0,38.9265,111.128,-42.2257,386.762,578.257,709.93
39,0,38.9226,111.122,-42.2281,386.762,578.255,709.939
40,0,38.9251,111.129,-42.2256,386.767,578.25,709.933
41,0,38.9257,111.131,-42.2229,386.773,578.236,709.928
42,0,38.9282,111.133,-42.2206,386.778,578.235,709.926
43,0,38.9272,111.134,-42.2183,386.786,578.236,709.922
44,0,38.9268,111.135,-42.2178,386.787,578.23,709.923
45,0,38.9299,111.136,-42.2187,386.784,578.229,709.921
46,0,38.9284,111.131,-42.2216,386.781,578.23,709.925
47,0,38.9248,111.126,-42.2221,386.784,578.241,709.928
48,0,38.9273,111.122,-42.2275,386.775,578.245,709.93
49,0,38.9258,111.128,-42.2223,386.778,578.246,709.929
50,0,38.9248,111.127,-42.2258,386.769,578.258,709.932
51,0,38.925,111.13,-42.2242,386.773,578.253,709.931
52,0,38.922,111.122,-42.2269,386.765,578.258,709.932
53,0,38.9192,111.117,-42.2255,386.762,578.252,709.938
54,0,38.9164,111.116,-42.2275,386.763,578.25,709.944
55,0,38.9212,111.127,-42.2239,386.764,578.253,709.932
56,0,38.9215,111.124,-42.224,386.761,578.254,709.934
57,0,38.9213,111.12,-42.227,386.768,578.255,709.938
58,0,38.9184,111.125,-42.2211,386.776,578.255,709.935
